Year,Festival,Product,Quantity
2018,Pongal,Siva elephant,6687
2018,Pongal,Flower,7042
2018,Pongal,Thalapathi vesthi set,2561
2018,Pongal,Plain towels,7975
2018,Pongal,Printed towels,5492
2018,Pongal,Golden jariga towels,5129
2018,Pongal,Colour vesti,8156
2018,Pongal,Plain towels low quality,4985
2018,Pongal,Plain towels high quality,9308
2018,Pongal,Swami vesti,5681
2018,Pongal,Swami border,8125
2018,Pongal,White towels,9446
2018,Pongal,Kavi vesti,9877
2018,Tamil New Year,Muthu petu,5777
2018,Tamil New Year,Siva nandhi,7507
2018,Tamil New Year,Siva elephant,5294
2018,Tamil New Year,Flower,2547
2018,Tamil New Year,Thalapathi vesthi set,7079
2018,Tamil New Year,Plain towels,7810
2018,Tamil New Year,Printed towels,4009
2018,Tamil New Year,Golden jariga towels,5605
2018,Tamil New Year,Colour vesti,2711
2018,Tamil New Year,Plain towels low quality,9505
2018,Tamil New Year,Plain towels high quality,7505
2018,Tamil New Year,Swami vesti,3306
2018,Tamil New Year,Swami border,8643
2018,Tamil New Year,White towels,82426
2018,Tamil New Year,Kavi vesti,2099
2019,Deepavali,Muthu petu,9193
2019,Deepavali,Siva nandhi,5503
2019,Deepavali,Siva elephant,7698
2019,Deepavali,Flower,2394
2019,Deepavali,Thalapathi vesthi set,6273
2019,Deepavali,Plain towels,7966
2019,Deepavali,Printed towels,3154
2019,Deepavali,Golden jariga towels,7895
2019,Deepavali,Colour vesti,4522
2019,Deepavali,Plain towels low quality,4380
2019,Deepavali,Plain towels high quality,2880
2019,Deepavali,Swami vesti,3719
2019,Deepavali,Swami border,3914
2019,Deepavali,White towels,8392
2019,Deepavali,Kavi vesti,4905
2019,Vinayagar Chaturthi,Muthu petu,9335
2019,Vinayagar Chaturthi,Siva nandhi,5684
2019,Vinayagar Chaturthi,Siva elephant,9405
2019,Vinayagar Chaturthi,Flower,6304
2019,Vinayagar Chaturthi,Thalapathi vesthi set,206180
2019,Vinayagar Chaturthi,Plain towels,62871
2019,Vinayagar Chaturthi,Printed towels,97608
2019,Vinayagar Chaturthi,Golden jariga towels,56612
2019,Vinayagar Chaturthi,Colour vesti,5819
2019,Vinayagar Chaturthi,Plain towels low quality,5672
2019,Vinayagar Chaturthi,Plain towels high quality,4139
2019,Vinayagar Chaturthi,Swami vesti,7321
2019,Vinayagar Chaturthi,Swami border,5875
2019,Vinayagar Chaturthi,White towels,6124
2019,Vinayagar Chaturthi,Kavi vesti,3599
2019,August Month,Muthu petu,4072
2019,August Month,Siva nandhi,4603
2019,August Month,Siva elephant,9507
2019,August Month,Flower,3981
2019,August Month,Thalapathi vesthi set,7969
2019,August Month,Plain towels,5147
2019,August Month,Printed towels,5761
2019,August Month,Golden jariga towels,6241
2019,August Month,Colour vesti,80292
2019,August Month,Plain towels low quality,81852
2019,August Month,Plain towels high quality,46071
2019,August Month,Swami vesti,7739
2019,August Month,Swami border,3905
2019,August Month,White towels,8054
2019,August Month,Kavi vesti,7677
2019,Pongal,Muthu petu,18772
2019,Pongal,Siva nandhi,4581
2019,Pongal,Siva elephant,5890
2019,Pongal,Flower,5578
2019,Pongal,Thalapathi vesthi set,7126
2019,Pongal,Plain towels,3326
2019,Pongal,Printed towels,3516
2019,Pongal,Golden jariga towels,4835
2019,Pongal,Colour vesti,4992
2019,Pongal,Plain towels low quality,8699
2019,Pongal,Plain towels high quality,5444
2019,Pongal,Swami vesti,4366
2019,Pongal,Swami border,6496
2019,Pongal,White towels,8324
2019,Pongal,Kavi vesti,2836
2019,Tamil New Year,Muthu petu,10084
2019,Tamil New Year,Siva nandhi,4891
2019,Tamil New Year,Siva elephant,9510
2019,Tamil New Year,Flower,7619
2019,Tamil New Year,Thalapathi vesthi set,6686
2019,Tamil New Year,Plain towels,3874
2019,Tamil New Year,Printed towels,9480
2019,Tamil New Year,Golden jariga towels,6001
2019,Tamil New Year,Colour vesti,8584
2019,Tamil New Year,Plain towels low quality,5203
2019,Tamil New Year,Plain towels high quality,4162
2019,Tamil New Year,Swami vesti,4499
2019,Tamil New Year,Swami border,7332
2019,Tamil New Year,White towels,63667
2019,Tamil New Year,Kavi vesti,2292
2020,Deepavali,Muthu petu,9557
2020,Deepavali,Siva nandhi,4353
2020,Deepavali,Siva elephant,7000
2020,Deepavali,Flower,2251
2020,Deepavali,Thalapathi vesthi set,7044
2020,Deepavali,Plain towels,7723
2020,Deepavali,Printed towels,9292
2020,Deepavali,Golden jariga towels,5764
2020,Deepavali,Colour vesti,9497
2020,Deepavali,Plain towels low quality,8761
2020,Deepavali,Plain towels high quality,4907
2020,Deepavali,Swami vesti,6370
2020,Deepavali,Swami border,6505
2020,Deepavali,White towels,4237
2020,Deepavali,Kavi vesti,4651
2020,Vinayagar Chaturthi,Muthu petu,9663
2020,Vinayagar Chaturthi,Siva nandhi,8931
2020,Vinayagar Chaturthi,Siva elephant,8302
2020,Vinayagar Chaturthi,Flower,7359
2020,Vinayagar Chaturthi,Thalapathi vesthi set,161529
2020,Vinayagar Chaturthi,Plain towels,68357
2020,Vinayagar Chaturthi,Printed towels,80174
2020,Vinayagar Chaturthi,Golden jariga towels,51942
2020,Vinayagar Chaturthi,Colour vesti,6443
2020,Vinayagar Chaturthi,Plain towels low quality,9695
2020,Vinayagar Chaturthi,Plain towels high quality,4132
2020,Vinayagar Chaturthi,Swami vesti,7120
2020,Vinayagar Chaturthi,Swami border,4903
2020,Vinayagar Chaturthi,White towels,3981
2020,Vinayagar Chaturthi,Kavi vesti,8030
2020,August Month,Muthu petu,8560
2020,August Month,Siva nandhi,5338
2020,August Month,Siva elephant,6770
2020,August Month,Flower,8229
2020,August Month,Thalapathi vesthi set,5579
2020,August Month,Plain towels,3919
2020,August Month,Printed towels,8247
2020,August Month,Golden jariga towels,5698
2020,August Month,Colour vesti,81368
2020,August Month,Plain towels low quality,69829
2020,August Month,Plain towels high quality,40717
2020,August Month,Swami vesti,7996
2020,August Month,Swami border,7280
2020,August Month,White towels,8422
2020,August Month,Kavi vesti,4747
2020,Pongal,Muthu petu,20863
2020,Pongal,Siva nandhi,6223
2020,Pongal,Siva elephant,4105
2020,Pongal,Flower,10428
2020,Pongal,Thalapathi vesthi set,6455
2020,Pongal,Plain towels,5649
2020,Pongal,Printed towels,9077
2020,Pongal,Golden jariga towels,3136
2020,Pongal,Colour vesti,2606
2020,Pongal,Plain towels low quality,6354
2020,Pongal,Plain towels high quality,9717
2020,Pongal,Swami vesti,4830
2020,Pongal,Swami border,7851
2020,Pongal,White towels,8082
2020,Pongal,Kavi vesti,4349
2020,Tamil New Year,Muthu petu,7259
2020,Tamil New Year,Siva nandhi,4435
2020,Tamil New Year,Siva elephant,6491
2020,Tamil New Year,Flower,8436
2020,Tamil New Year,Thalapathi vesthi set,3553
2020,Tamil New Year,Plain towels,5359
2020,Tamil New Year,Printed towels,4711
2020,Tamil New Year,Golden jariga towels,7296
2020,Tamil New Year,Colour vesti,8364
2020,Tamil New Year,Plain towels low quality,3679
2020,Tamil New Year,Plain towels high quality,5948
2020,Tamil New Year,Swami vesti,8850
2020,Tamil New Year,Swami border,5993
2020,Tamil New Year,White towels,85336
2020,Tamil New Year,Kavi vesti,1866
2021,Deepavali,Muthu petu,9718
2021,Deepavali,Siva nandhi,5429
2021,Deepavali,Siva elephant,6459
2021,Deepavali,Flower,1786
2021,Deepavali,Thalapathi vesthi set,8568
2021,Deepavali,Plain towels,5029
2021,Deepavali,Printed towels,4755
2021,Deepavali,Golden jariga towels,3682
2021,Deepavali,Colour vesti,6716
2021,Deepavali,Plain towels low quality,4741
2021,Deepavali,Plain towels high quality,5723
2021,Deepavali,Swami vesti,6989
2021,Deepavali,Swami border,4998
2021,Deepavali,White towels,9556
2021,Deepavali,Kavi vesti,8951
2021,Vinayagar Chaturthi,Muthu petu,4252
2021,Vinayagar Chaturthi,Siva nandhi,4708
2021,Vinayagar Chaturthi,Siva elephant,7791
2021,Vinayagar Chaturthi,Flower,6618
2021,Vinayagar Chaturthi,Thalapathi vesthi set,209607
2021,Vinayagar Chaturthi,Plain towels,70946
2021,Vinayagar Chaturthi,Printed towels,80668
2021,Vinayagar Chaturthi,Golden jariga towels,62786
2021,Vinayagar Chaturthi,Colour vesti,5617
2021,Vinayagar Chaturthi,Plain towels low quality,3792
2021,Vinayagar Chaturthi,Plain towels high quality,5157
2021,Vinayagar Chaturthi,Swami vesti,3121
2021,Vinayagar Chaturthi,Swami border,5511
2021,Vinayagar Chaturthi,White towels,7583
2021,Vinayagar Chaturthi,Kavi vesti,9200
2021,August Month,Muthu petu,6200
2021,August Month,Siva nandhi,7553
2021,August Month,Siva elephant,6821
2021,August Month,Flower,4313
2021,August Month,Thalapathi vesthi set,7840
2021,August Month,Plain towels,7909
2021,August Month,Printed towels,10977
2021,August Month,Golden jariga towels,8060
2021,August Month,Colour vesti,62587
2021,August Month,Plain towels low quality,64217
2021,August Month,Plain towels high quality,43625
2021,August Month,Swami vesti,6158
2021,August Month,Swami border,7151
2021,August Month,White towels,2642
2021,August Month,Kavi vesti,3797
2021,Pongal,Muthu petu,21438
2021,Pongal,Siva nandhi,8624
2021,Pongal,Siva elephant,8797
2021,Pongal,Flower,3478
2021,Pongal,Thalapathi vesthi set,3863
2021,Pongal,Plain towels,3259
2021,Pongal,Printed towels,6701
2021,Pongal,Golden jariga towels,5783
2021,Pongal,Colour vesti,7595
2021,Pongal,Plain towels low quality,10941
2021,Pongal,Plain towels high quality,5093
2021,Pongal,Swami vesti,5039
2021,Pongal,Swami border,7611
2021,Pongal,White towels,6017
2021,Pongal,Kavi vesti,5393
2021,Tamil New Year,Muthu petu,3393
2021,Tamil New Year,Siva nandhi,8394
2021,Tamil New Year,Siva elephant,8009
2021,Tamil New Year,Flower,5434
2021,Tamil New Year,Thalapathi vesthi set,5307
2021,Tamil New Year,Plain towels,9833
2021,Tamil New Year,Printed towels,9731
2021,Tamil New Year,Golden jariga towels,8963
2021,Tamil New Year,Colour vesti,5072
2021,Tamil New Year,Plain towels low quality,6627
2021,Tamil New Year,Plain towels high quality,2933
2021,Tamil New Year,Swami vesti,4221
2021,Tamil New Year,Swami border,10220
2021,Tamil New Year,White towels,63037
2021,Tamil New Year,Kavi vesti,1695
2022,Deepavali,Muthu petu,8539
2022,Deepavali,Siva nandhi,5784
2022,Deepavali,Siva elephant,6276
2022,Deepavali,Flower,2157
2022,Deepavali,Thalapathi vesthi set,6928
2022,Deepavali,Plain towels,2624
2022,Deepavali,Printed towels,7591
2022,Deepavali,Golden jariga towels,7370
2022,Deepavali,Colour vesti,4837
2022,Deepavali,Plain towels low quality,8221
2022,Deepavali,Plain towels high quality,6214
2022,Deepavali,Swami vesti,6326
2022,Deepavali,Swami border,6378
2022,Deepavali,White towels,5761
2022,Deepavali,Kavi vesti,5727
2022,Vinayagar Chaturthi,Muthu petu,9679
2022,Vinayagar Chaturthi,Siva nandhi,9299
2022,Vinayagar Chaturthi,Siva elephant,10103
2022,Vinayagar Chaturthi,Flower,9735
2022,Vinayagar Chaturthi,Thalapathi vesthi set,178598
2022,Vinayagar Chaturthi,Plain towels,68730
2022,Vinayagar Chaturthi,Printed towels,79990
2022,Vinayagar Chaturthi,Golden jariga towels,68524
2022,Vinayagar Chaturthi,Colour vesti,6906
2022,Vinayagar Chaturthi,Plain towels low quality,6244
2022,Vinayagar Chaturthi,Plain towels high quality,3323
2022,Vinayagar Chaturthi,Swami vesti,5396
2022,Vinayagar Chaturthi,Swami border,8512
2022,Vinayagar Chaturthi,White towels,3095
2022,Vinayagar Chaturthi,Kavi vesti,9571
2022,August Month,Muthu petu,9162
2022,August Month,Siva nandhi,9258
2022,August Month,Siva elephant,5775
2022,August Month,Flower,5550
2022,August Month,Thalapathi vesthi set,2750
2022,August Month,Plain towels,3247
2022,August Month,Printed towels,3904
2022,August Month,Golden jariga towels,10559
2022,August Month,Colour vesti,68774
2022,August Month,Plain towels low quality,60065
2022,August Month,Plain towels high quality,43295
2022,August Month,Swami vesti,7550
2022,August Month,Swami border,6883
2022,August Month,White towels,3252
2022,August Month,Kavi vesti,7669
2022,Pongal,Muthu petu,16550
2022,Pongal,Siva nandhi,7403
2022,Pongal,Siva elephant,7246
2022,Pongal,Flower,6773
2022,Pongal,Thalapathi vesthi set,8601
2022,Pongal,Plain towels,9165
2022,Pongal,Printed towels,7948
2022,Pongal,Golden jariga towels,3263
2022,Pongal,Colour vesti,10376
2022,Pongal,Plain towels low quality,9792
2022,Pongal,Plain towels high quality,8141
2022,Pongal,Swami vesti,4768
2022,Pongal,Swami border,6964
2022,Pongal,White towels,9999
2022,Pongal,Kavi vesti,4180
2022,Tamil New Year,Muthu petu,3998
2022,Tamil New Year,Siva nandhi,6746
2022,Tamil New Year,Siva elephant,6323
2022,Tamil New Year,Flower,4503
2022,Tamil New Year,Thalapathi vesthi set,5089
2022,Tamil New Year,Plain towels,4599
2022,Tamil New Year,Printed towels,5745
2022,Tamil New Year,Golden jariga towels,3180
2022,Tamil New Year,Colour vesti,11214
2022,Tamil New Year,Plain towels low quality,4592
2022,Tamil New Year,Plain towels high quality,6054
2022,Tamil New Year,Swami vesti,5202
2022,Tamil New Year,Swami border,10265
2022,Tamil New Year,White towels,88265
2022,Tamil New Year,Kavi vesti,2403
2023,Deepavali,Muthu petu,9516
2023,Deepavali,Siva nandhi,4893
2023,Deepavali,Siva elephant,6365
2023,Deepavali,Flower,1512
2023,Deepavali,Thalapathi vesthi set,5892
2023,Deepavali,Plain towels,5085
2023,Deepavali,Printed towels,9119
2023,Deepavali,Golden jariga towels,6118
2023,Deepavali,Colour vesti,6794
2023,Deepavali,Plain towels low quality,3108
2023,Deepavali,Plain towels high quality,3312
2023,Deepavali,Swami vesti,6476
2023,Deepavali,Swami border,4765
2023,Deepavali,White towels,3554
2023,Deepavali,Kavi vesti,3381
2023,Vinayagar Chaturthi,Muthu petu,6851
2023,Vinayagar Chaturthi,Siva nandhi,8415
2023,Vinayagar Chaturthi,Siva elephant,10523
2023,Vinayagar Chaturthi,Flower,3784
2023,Vinayagar Chaturthi,Thalapathi vesthi set,224691
2023,Vinayagar Chaturthi,Plain towels,78203
2023,Vinayagar Chaturthi,Printed towels,71740
2023,Vinayagar Chaturthi,Golden jariga towels,61916
2023,Vinayagar Chaturthi,Colour vesti,3710
2023,Vinayagar Chaturthi,Plain towels low quality,3835
2023,Vinayagar Chaturthi,Plain towels high quality,9781
2023,Vinayagar Chaturthi,Swami vesti,10602
2023,Vinayagar Chaturthi,Swami border,5017
2023,Vinayagar Chaturthi,White towels,4743
2023,Vinayagar Chaturthi,Kavi vesti,5151
2023,August Month,Muthu petu,6224
2023,August Month,Siva nandhi,5911
2023,August Month,Siva elephant,5872
2023,August Month,Flower,2983
2023,August Month,Thalapathi vesthi set,6525
2023,August Month,Plain towels,9839
2023,August Month,Printed towels,4875
2023,August Month,Golden jariga towels,6056
2023,August Month,Colour vesti,84465
2023,August Month,Plain towels low quality,82261
2023,August Month,Plain towels high quality,41140
2023,August Month,Swami vesti,4286
2023,August Month,Swami border,3329
2023,August Month,White towels,11290
2023,August Month,Kavi vesti,7034
2023,Pongal,Muthu petu,24855
2023,Pongal,Siva nandhi,5638
2023,Pongal,Siva elephant,9841
2023,Pongal,Flower,4970
2023,Pongal,Thalapathi vesthi set,8909
2023,Pongal,Plain towels,6543
2023,Pongal,Printed towels,6003
2023,Pongal,Golden jariga towels,10601
2023,Pongal,Colour vesti,5914
2023,Pongal,Plain towels low quality,9482
2023,Pongal,Plain towels high quality,3166
2023,Pongal,Swami vesti,5829
2023,Pongal,Swami border,7086
2023,Pongal,White towels,4866
2023,Pongal,Kavi vesti,4754
2023,Tamil New Year,Muthu petu,7385
2023,Tamil New Year,Siva nandhi,8805
2023,Tamil New Year,Siva elephant,4624
2023,Tamil New Year,Flower,7320
2023,Tamil New Year,Thalapathi vesthi set,10512
2023,Tamil New Year,Plain towels,5067
2023,Tamil New Year,Printed towels,10501
2023,Tamil New Year,Golden jariga towels,3762
2023,Tamil New Year,Colour vesti,8795
2023,Tamil New Year,Plain towels low quality,7205
2023,Tamil New Year,Plain towels high quality,5949
2023,Tamil New Year,Swami vesti,6379
2023,Tamil New Year,Swami border,8817
2023,Tamil New Year,White towels,82543
2023,Tamil New Year,Kavi vesti,1698
2024,Deepavali,Muthu petu,8544
2024,Deepavali,Siva nandhi,5366
2024,Deepavali,Siva elephant,6705
2024,Deepavali,Flower,2248
2024,Deepavali,Thalapathi vesthi set,8642
2024,Deepavali,Plain towels,3906
2024,Deepavali,Printed towels,2931
2024,Deepavali,Golden jariga towels,3446
2024,Deepavali,Colour vesti,6161
2024,Deepavali,Plain towels low quality,7220
2024,Deepavali,Plain towels high quality,7255
2024,Deepavali,Swami vesti,9839
2024,Deepavali,Swami border,5805
2024,Deepavali,White towels,9198
2024,Deepavali,Kavi vesti,3128
2024,Vinayagar Chaturthi,Muthu petu,4224
2024,Vinayagar Chaturthi,Siva nandhi,4218
2024,Vinayagar Chaturthi,Siva elephant,5273
2024,Vinayagar Chaturthi,Flower,4866
2024,Vinayagar Chaturthi,Thalapathi vesthi set,223779
2024,Vinayagar Chaturthi,Plain towels,72441
2024,Vinayagar Chaturthi,Printed towels,105104
2024,Vinayagar Chaturthi,Golden jariga towels,62765
2024,Vinayagar Chaturthi,Colour vesti,6994
2024,Vinayagar Chaturthi,Plain towels low quality,4981
2024,Vinayagar Chaturthi,Plain towels high quality,9204
2024,Vinayagar Chaturthi,Swami vesti,4556
2024,Vinayagar Chaturthi,Swami border,5730
2024,Vinayagar Chaturthi,White towels,4664
2024,Vinayagar Chaturthi,Kavi vesti,6067
2024,August Month,Muthu petu,4710
2024,August Month,Siva nandhi,5348
2024,August Month,Siva elephant,4534
2024,August Month,Flower,10037
2024,August Month,Thalapathi vesthi set,5022
2024,August Month,Plain towels,10233
2024,August Month,Printed towels,6344
2024,August Month,Golden jariga towels,7841
2024,August Month,Colour vesti,60534
2024,August Month,Plain towels low quality,66877
2024,August Month,Plain towels high quality,42015
2024,August Month,Swami vesti,5585
2024,August Month,Swami border,4436
2024,August Month,White towels,10095
2024,August Month,Kavi vesti,8304
2024,Pongal,Muthu petu,23897
2024,Pongal,Siva nandhi,3149
2024,Pongal,Siva elephant,6653
2024,Pongal,Flower,6877
2024,Pongal,Thalapathi vesthi set,5223
2024,Pongal,Plain towels,7648
2024,Pongal,Printed towels,8094
2024,Pongal,Golden jariga towels,7927
2024,Pongal,Colour vesti,6261
2024,Pongal,Plain towels low quality,6443
2024,Pongal,Plain towels high quality,6397
2024,Pongal,Swami vesti,4998
2024,Pongal,Swami border,7159
2024,Pongal,White towels,7966
2024,Pongal,Kavi vesti,5398
2024,Tamil New Year,Muthu petu,8407
2024,Tamil New Year,Siva nandhi,9408
2024,Tamil New Year,Siva elephant,9208
2024,Tamil New Year,Flower,5914
2024,Tamil New Year,Thalapathi vesthi set,8841
2024,Tamil New Year,Plain towels,7978
2024,Tamil New Year,Printed towels,4518
2024,Tamil New Year,Golden jariga towels,8227
2024,Tamil New Year,Colour vesti,7646
2024,Tamil New Year,Plain towels low quality,4092
2024,Tamil New Year,Plain towels high quality,6040
2024,Tamil New Year,Swami vesti,3825
2024,Tamil New Year,Swami border,5624
2024,Tamil New Year,White towels,76428
2024,Tamil New Year,Kavi vesti,2148
